chats,1,2,3,4,5
yooooo,1,0,0,0,0
tell people in the gym to shut tf up and everyone will respect you,1,0,0,0,0
joeeeee,1,0,0,0,0
bdeoweenie bdeoweenie,1,0,0,0,0
sup bro,1,0,0,0,0
joe,1,0,0,0,0
joebartwebelieve joebartwebelieve,0,0,1,0,0
joeeee,0,0,1,0,0
bdeotwerk bdeotwerk,0,0,1,0,0
valakvwheeze,0,0,1,0,0
oh yeah,0,0,1,0,0
lmao,0,0,1,0,0
mad mad,0,0,1,0,0
big papa hello,0,0,1,0,0
hows the pc joe,0,0,1,0,0
joseph,0,0,1,0,0
a viking scream lul,0,0,0,1,0
once again i make it to the stream,0,0,0,1,0
w,0,0,0,1,0
we missed you joe,0,0,0,1,0
lol,0,0,0,1,0
joe,0,0,0,1,0
joe your the best,0,0,0,1,0
hi joe,0,0,0,1,0
w,0,0,0,1,0
naaaaaa,0,0,0,1,0
joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness,1,0,0,0,0
goated lava lamp,1,0,0,0,0
new pop figures,1,0,0,0,0
yo i was checking if you were live and then i saw ur not so i get in my bed and then seconds later i got the noti big w,1,0,0,0,0
date max taylor swift,1,0,0,0,0
smorc,1,0,0,0,0
ww,1,0,0,0,0
look like a but plug,1,0,0,0,0
happy new year,1,0,0,0,0
pc update,1,0,0,0,0
inch lul,0,0,0,1,0
its a w,0,0,0,1,0
yooo,0,0,0,1,0
hi,0,0,0,1,0
neveh,0,0,0,1,0
use dodge,0,0,0,1,0
what lmfao,0,0,0,1,0
lmao,0,0,0,1,0
joe do you like my name,0,0,0,1,0
here we go,0,0,0,1,0
joebartlongneck,0,1,0,0,0
lol,0,1,0,0,0
i wanna see your toes you hottie,0,1,0,0,0
w inch,0,1,0,0,0
inch is him,0,1,0,0,0
yassssss,0,1,0,0,0
sooooooooooooooooooooooooooooo,0,1,0,0,0
what the hell,0,1,0,0,0
w,0,1,0,0,0
lmaooooo,0,1,0,0,0
joebartlongneck,0,1,0,0,0
ha,0,1,0,0,0
joe eats inch for breakfast,0,1,0,0,0
doritoschip doritoschip,0,1,0,0,0
hi joesph,0,1,0,0,0
inch destroys joe,0,1,0,0,0
rip jaden smith,0,1,0,0,0
no exguses,0,1,0,0,0
joe,0,1,0,0,0
jesus,0,1,0,0,0
joebartwebelieve,0,0,1,0,0
woe,0,0,1,0,0
stinkkky man,0,0,1,0,0
val,0,0,1,0,0
suiii,0,0,1,0,0
faxxxxxxxx,0,0,1,0,0
head dansgame dansgame,0,0,1,0,0
lmao joa is hulk,0,0,1,0,0
joe ur minutes in and have its level hype,0,0,1,0,0
hi,0,0,1,0,0
lul lul lul lul lul,0,0,0,1,0
stinkkkkkyyyyyyy,0,0,0,1,0
the goat is back,0,0,0,1,0
w,0,0,0,1,0
hey joeyyy,0,0,0,1,0
the goat is back,0,0,0,1,0
the goat is back,0,0,0,1,0
subprise,0,0,0,1,0
barbarian irl,0,0,0,1,0
yo you have k,0,0,0,1,0
joebartwebelieve,0,0,1,0,0
yooo joe wassup,0,0,1,0,0
o,0,0,1,0,0
joe,0,0,1,0,0
with zeuzy,0,0,1,0,0
reactions plz,0,0,1,0,0
lagg,0,0,1,0,0
it was hh holmes in the walls,0,0,1,0,0
damn thousand bits,0,0,1,0,0
hope your trip was interesting,0,0,1,0,0
get leds joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness joebartbusiness,1,0,0,0,0
more scary games,1,0,0,0,0
wwwww,1,0,0,0,0
ww,1,0,0,0,0
wwwwww,1,0,0,0,0
w,1,0,0,0,0
yoooooooo,1,0,0,0,0
wwww,1,0,0,0,0
w,1,0,0,0,0
how are you joe,1,0,0,0,0
catjam,0,0,0,0,1
w waffle,0,0,0,0,1
wwwwww,0,0,0,0,1
w,0,0,0,0,1
zeusy got verified,0,0,0,0,1
weww,0,0,0,0,1
zeusy got verified,0,0,0,0,1
wwwwww,0,0,0,0,1
yooo wussup joe how was the trip,0,0,0,0,1
wwwwwwwwwwww,0,0,0,0,1
joebartbusiness,1,0,0,0,0
modcheck modcheck modcheck modcheck inch solos,1,0,0,0,0
joebartwebelieve,1,0,0,0,0
can we play fortnite later,1,0,0,0,0
the bart mans barber has arrives,1,0,0,0,0
zeusy got verified,1,0,0,0,0
bucks,1,0,0,0,0
zeusy got verified,1,0,0,0,0
wwww,1,0,0,0,0
w,1,0,0,0,0
joebartpogu joebartpogu joebartwebelieve,0,0,1,0,0
joe carrried,0,0,1,0,0
did you see kumala story,0,0,1,0,0
l lamp,0,0,1,0,0
tombraid tombraid tombraid tombraid tombraid tombraid,0,0,1,0,0
forza,0,0,1,0,0
yes,0,0,1,0,0
brokeback,0,0,1,0,0
joey bears back,0,0,1,0,0
is brooke moving in wit u,0,0,1,0,0
joebartlongneck,0,1,0,0,0
w,0,1,0,0,0
w,0,1,0,0,0
do a toe reavel,0,1,0,0,0
massive w,0,1,0,0,0
when are you streaming high on life,0,1,0,0,0
the bart mand barber has arrived,0,1,0,0,0
joes viewers when they figure out he has a girlfriend,0,1,0,0,0
hi yt,0,1,0,0,0
hi youtube,0,1,0,0,0
joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartdoofed joebartdoofed joebartdoofed joebartdoofed joebartdoofed joebartdoofed lul lul lul lul lul lul lul lul,0,1,0,0,0
rant,0,1,0,0,0
joe tattoo my footprint on your back,0,1,0,0,0
w,0,1,0,0,0
dub stream,0,1,0,0,0
joe every single day i wait for a yt video if ur not currently streaming on twitch,0,1,0,0,0
w,0,1,0,0,0
hey joe im watching from austria right now im on vacation,0,1,0,0,0
ai yt,0,1,0,0,0
its joein time,0,1,0,0,0
lul,0,0,0,1,0
l joe,0,0,0,1,0
wwwwwwwwwww,0,0,0,1,0
tf,0,0,0,1,0
w vacation,0,0,0,1,0
id do it,0,0,0,1,0
wwwwwwww,0,0,0,1,0
hey joe sorry im lare,0,0,0,1,0
w,0,0,0,1,0
chilling with the bro,0,0,0,1,0
joebartpogu joebartlongneck,0,1,0,0,0
were off to a huge start,0,1,0,0,0
www,0,1,0,0,0
duuuuuuubbbbbb,0,1,0,0,0
wwwwwwwwwwww,0,1,0,0,0
wwww,0,1,0,0,0
dubb,0,1,0,0,0
wwwwww,0,1,0,0,0
wwwwww,0,1,0,0,0
agaib,0,1,0,0,0
catjam,0,0,0,0,1
wwwwwwwwwww,0,0,0,0,1
w,0,0,0,0,1
ww,0,0,0,0,1
w,0,0,0,0,1
wwwwww,0,0,0,0,1
wwwwwwwwww,0,0,0,0,1
w,0,0,0,0,1
wwwwww,0,0,0,0,1
wwwwwwwww,0,0,0,0,1
joebartbusiness fortnite,1,0,0,0,0
w,1,0,0,0,0
wwww,1,0,0,0,0
wwww,1,0,0,0,0
thank you,1,0,0,0,0
youre backk babyyy,1,0,0,0,0
you missed bits,1,0,0,0,0
wwww,1,0,0,0,0
damnn,1,0,0,0,0
massive w,1,0,0,0,0
joebartlongneck,0,1,0,0,0
wwww,0,1,0,0,0
dhar mann react,0,1,0,0,0
were you buy the chicken burger,0,1,0,0,0
e,0,1,0,0,0
wwwwwww,0,1,0,0,0
wwwwwww,0,1,0,0,0
joebartalvin,0,1,0,0,0
w,0,1,0,0,0
wwwwww,0,1,0,0,0
joebartwebelieve joebartwebelieve joebartwebelieve,0,0,1,0,0
bk have it your wayyyyy,0,0,1,0,0
thanks,0,0,1,0,0
hey joe,0,0,1,0,0
yes,0,0,1,0,0
wwww thefreiz,0,0,1,0,0
w w w w w w ww w,0,0,1,0,0
the lava lamppo,0,0,1,0,0
w,0,0,1,0,0
wwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,0,1,0,0
joebartbusiness,1,0,0,0,0
w vacation,1,0,0,0,0
how are you joe,1,0,0,0,0
did you see what happened to damar hamlin,1,0,0,0,0
hey joe me gusta el coño apretado en mi cara please translate that,1,0,0,0,0
l vacation joe,1,0,0,0,0
w vacation,1,0,0,0,0
it was cool,1,0,0,0,0
at least you went on vacation,1,0,0,0,0
discord link,1,0,0,0,0
joebartlongneck,0,1,0,0,0
how are you doing on one piece,0,1,0,0,0
where can i find the discord,0,1,0,0,0
hi joe,0,1,0,0,0
joe has to take a break,0,1,0,0,0
short chinese lady,0,1,0,0,0
calm down,0,1,0,0,0
how do you feel about chicken nuggets,0,1,0,0,0
ww,0,1,0,0,0
thats sad joe,0,1,0,0,0
joebartbusiness,1,0,0,0,0
disney snuffer,1,0,0,0,0
kreygasm,1,0,0,0,0
disney sniffer,1,0,0,0,0
the disney sniferrrrrrrr,1,0,0,0,0
w,1,0,0,0,0
what pre workout do you recommend,1,0,0,0,0
yess,1,0,0,0,0
i mentioned it,1,0,0,0,0
w,1,0,0,0,0
joebartwebelieve,0,0,1,0,0
idk,0,0,1,0,0
bucks,0,0,1,0,0
ww,0,0,1,0,0
sloppy gloppy,0,0,1,0,0
more then,0,0,1,0,0
you have helped me every since my parents died and i have been in a really dark place ever since they passed,0,0,1,0,0
doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip doritoschip pjsugar doritoschip doritoschip doritoschip doritoschip doritoschip,0,0,1,0,0
dollars,0,0,1,0,0
poe nartalozi,0,0,1,0,0
powerupr powerupl lul,0,0,0,1,0
joe did you play high on life,0,0,0,1,0
jeo vr streams gonna be funny ash,0,0,0,1,0
do you know when it is going to come out,0,0,0,1,0
love u,0,0,0,1,0
ur in a mr beast video,0,0,0,1,0
wtf,0,0,0,1,0
dollars,0,0,0,1,0
ok thats enough gfuel codes for the day btw chat,0,0,0,1,0
joe,0,0,0,1,0
lul lul lul lul lul lul lul lul lul lul,0,0,0,1,0
read the entire thing you slut,0,0,0,1,0
read the entire thing you slut,0,0,0,1,0
read the entire thing you slut,0,0,0,1,0
do you know when the mrbeast video goes up,0,0,0,1,0
yo whatd i miss,0,0,0,1,0
joebartpumpkinjoe,0,0,0,1,0
thanks for the great content joe,0,0,0,1,0
gg,0,0,0,1,0
flex,0,0,0,1,0
joebartlongneck,0,1,0,0,0
how do you talk so fast,0,1,0,0,0
f,0,1,0,0,0
i got a hour flight later,0,1,0,0,0
f,0,1,0,0,0
l,0,1,0,0,0
hi joseph,0,1,0,0,0
i got an l sinus infection,0,1,0,0,0
ffff,0,1,0,0,0
joe im stuck in traffic and im so thirsty only if i had a g fuel discount,0,1,0,0,0
joebartbusiness,1,0,0,0,0
yea,1,0,0,0,0
qna,1,0,0,0,0
i need some toes,1,0,0,0,0
single,1,0,0,0,0
your bad at streaming,1,0,0,0,0
lets hear it joe,1,0,0,0,0
fffff,1,0,0,0,0
pogu story,1,0,0,0,0
joebartlove,1,0,0,0,0
joebartwebelieve,0,0,1,0,0
awe,0,0,1,0,0
awww,0,0,1,0,0
awwwww,0,0,1,0,0
wwwww,0,0,1,0,0
awww,0,0,1,0,0
ww,0,0,1,0,0
aw,0,0,1,0,0
w joe,0,0,1,0,0
aaww,0,0,1,0,0
lul,0,0,0,1,0
oh nah,0,0,0,1,0
lol,0,0,0,1,0
rip,0,0,0,1,0
lmaoo,0,0,0,1,0
lol,0,0,0,1,0
lolll,0,0,0,1,0
where,0,0,0,1,0
halo,0,0,0,1,0
lol,0,0,0,1,0
vohiyo joebartwebelieve joebartwebelieve joebartwebelieve,0,0,1,0,0
lmfaoo,0,0,1,0,0
hahahah,0,0,1,0,0
yoo first time lover your shit man yoooooooooooooooo,0,0,1,0,0
l,0,0,1,0,0
lmao,0,0,1,0,0
dammm,0,0,1,0,0
that was meeee,0,0,1,0,0
loll,0,0,1,0,0
jesus loves all of you guys your not to work old or young to repent he loves you repent and you will have eternal life with god,0,0,1,0,0
lul lul lul,0,0,0,1,0
nahhhhh,0,0,0,1,0
woahh,0,0,0,1,0
is it delayed for any of you,0,0,0,1,0
joetoes,0,0,0,1,0
imagine hes in stream,0,0,0,1,0
heyguys,0,0,0,1,0
imagine hes in stream,0,0,0,1,0
lmalooooooppoo,0,0,0,1,0
lmaooo,0,0,0,1,0
lul lul lul lul lul,0,0,0,1,0
lucky man,0,0,0,1,0
w man,0,0,0,1,0
lucky af,0,0,0,1,0
nahhh lmaoaoa,0,0,0,1,0
bros lucky,0,0,0,1,0
what,0,0,0,1,0
he definitely snapped a secret pic,0,0,0,1,0
omg that was me,0,0,0,1,0
nope,0,0,0,1,0
i wonder what snow feels like lul,0,0,0,1,0
zorrrryyyy bdeoletsgo bdeoletsgo bdeoletsgo,0,0,0,1,0
as one would,0,0,0,1,0
hi,0,0,0,1,0
im on a bus,0,0,0,1,0
lmaoooo,0,0,0,1,0
punchtrees powerupl powerupr,0,0,0,1,0
the blob is rising,0,0,0,1,0
can i message your feet,0,0,0,1,0
hey how are you doing,0,0,0,1,0
joebartwebelieve joebartwebelieve joebartwebelieve,0,0,1,0,0
lol,0,0,1,0,0
hi,0,0,1,0,0
hi joeded,0,0,1,0,0
joe is himothy,0,0,1,0,0
lol,0,0,1,0,0
hi joe,0,0,1,0,0
the beard tho,0,0,1,0,0
when could you react to lama arts,0,0,1,0,0
lmfao,0,0,1,0,0
lul,0,0,0,1,0
have you ever wanted to jump off the ski lift,0,0,0,1,0
so boring,0,0,0,1,0
old man bart,0,0,0,1,0
lol,0,0,0,1,0
whats with the lava lamp,0,0,0,1,0
hi joe,0,0,0,1,0
lolllll,0,0,0,1,0
l ski lift,0,0,0,1,0
ofc he is,0,0,0,1,0
mf is trying to flex on ya lul,0,0,0,1,0
youtube,0,0,0,1,0
waht,0,0,0,1,0
wwwww maaaan,0,0,0,1,0
damn creepy,0,0,0,1,0
jooooooo,0,0,0,1,0
lol,0,0,0,1,0
lol,0,0,0,1,0
lmaooo,0,0,0,1,0
joe,0,0,0,1,0
lul lul lul,0,0,0,1,0
lmao,0,0,0,1,0
usa junior hockey,0,0,0,1,0
nahhh lmfoaoaoa,0,0,0,1,0
bahahah,0,0,0,1,0
lmaooo,0,0,0,1,0
lmaooooooooooo,0,0,0,1,0
nahhh,0,0,0,1,0
lmaooo,0,0,0,1,0
w kid,0,0,0,1,0
bro got the death wobble on skis lul,0,0,0,1,0
earfquake,0,0,0,1,0
speed wobble lol,0,0,0,1,0
what,0,0,0,1,0
hiiiiii,0,0,0,1,0
lava lamp w,0,0,0,1,0
joes like damn hella speedbumps on the green course,0,0,0,1,0
speed wobbles,0,0,0,1,0
u hear about the bills player,0,0,0,1,0
haha,0,0,0,1,0
lul lul lul lul lul lul lul lul lul lul lul,0,0,0,1,0
is bro forreal,0,0,0,1,0
whats a flick,0,0,0,1,0
lmao,0,0,0,1,0
lmaoooooooo,0,0,0,1,0
bro gonna be waiting like hours,0,0,0,1,0
w kid,0,0,0,1,0
joe,0,0,0,1,0
whats a flick,0,0,0,1,0
nahhhhhhh,0,0,0,1,0
lul lul lul lul lul lul lul lul lul,0,0,0,1,0
hi yt if its going on yt,0,0,0,1,0
w bro,0,0,0,1,0
lol,0,0,0,1,0
lmaooooo,0,0,0,1,0
lmfaoo,0,0,0,1,0
lmfoa,0,0,0,1,0
lol,0,0,0,1,0
ahhhhhhhhhh,0,0,0,1,0
lol,0,0,0,1,0
lul lul lul,0,0,0,1,0
ha npc kid,0,0,0,1,0
pepe,0,0,0,1,0
joebartpain,0,0,0,1,0
joe scream fuck,0,0,0,1,0
npc,0,0,0,1,0
that was me bro sorry i had to leave,0,0,0,1,0
w kid,0,0,0,1,0
hes in chat,0,0,0,1,0
oh my god is that joeseph bartolozzi palozzi nozzi trozzi clozzi bozzi mozzi salozzi,0,0,0,1,0
joebartbusiness,1,0,0,0,0
hahaha,1,0,0,0,0
w kid,1,0,0,0,0
what was mee,1,0,0,0,0
wwwwwwwwww,1,0,0,0,0
w kid,1,0,0,0,0
oh pick not flick,1,0,0,0,0
joe boi,1,0,0,0,0
ski man,1,0,0,0,0
u shouda hit him,1,0,0,0,0
lul,0,0,0,1,0
bros an npc ong,0,0,0,1,0
l joe,0,0,0,1,0
hi,0,0,0,1,0
that was me,0,0,0,1,0
he died,0,0,0,1,0
lllllll joe,0,0,0,1,0
joe do you have a crush on joe biden,0,0,0,1,0
hahahha,0,0,0,1,0
finally bro,0,0,0,1,0
lul,0,0,0,1,0
you i went to the gym for the first time im trying to lose weight because im insicure about my body got any edvice,0,0,0,1,0
new jersey snow,0,0,0,1,0
lmao,0,0,0,1,0
omg so cold,0,0,0,1,0
bruh,0,0,0,1,0
coolcat coolcat coolcat coolcat coolcat coolcat coolcat coolcat coolcat coolcat,0,0,0,1,0
bro is literally warm,0,0,0,1,0
thats insane,0,0,0,1,0
joe skiolozzi,0,0,0,1,0
lul,0,0,0,1,0
joe,0,0,0,1,0
pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp,0,0,0,1,0
that fake ahhhhh chain,0,0,0,1,0
w,0,0,0,1,0
especially sand,0,0,0,1,0
lol,0,0,0,1,0
thats why i dont go skiing,0,0,0,1,0
hi youtube,0,0,0,1,0
joe its lagging,0,0,0,1,0
lul lul lul lul,0,0,0,1,0
hey joe,0,0,0,1,0
f,0,0,0,1,0
lava lamp a vibe,0,0,0,1,0
just turn around,0,0,0,1,0
joebartolozzi did you rent or do you own skiis,0,0,0,1,0
skill issue,0,0,0,1,0
l,0,0,0,1,0
nah that shit scary when i skied almost broke my leg,0,0,0,1,0
joe,0,0,0,1,0
joebartwebelieve joebartwebelieve joebartwebelieve joebartwebelieve joebartwebelieve,0,0,1,0,0
wwww,0,0,1,0,0
wwwwwwwwwwwwwwwww,0,0,1,0,0
wwwwwwwwwwwww,0,0,1,0,0
wwwwwwwww,0,0,1,0,0
w,0,0,1,0,0
w,0,0,1,0,0
wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,0,1,0,0
sounds like fun,0,0,1,0,0
w,0,0,1,0,0
joebartlongneck,0,1,0,0,0
w,0,1,0,0,0
l fingernails,0,1,0,0,0
wwwwwwwwwwwwwwwwwww,0,1,0,0,0
babyrage babyrage babyrage babyrage,0,1,0,0,0
w subs,0,1,0,0,0
i wwwwwww,0,1,0,0,0
wwwwwwww,0,1,0,0,0
w,0,1,0,0,0
soo many subbs today,0,1,0,0,0
joebartlongneck,0,1,0,0,0
www,0,1,0,0,0
cheer cheer cheer joe i lost my wallet where should i look,0,1,0,0,0
w,0,1,0,0,0
air bnb is crazy bro,0,1,0,0,0
lul,0,1,0,0,0
joe looks like a dad with the beard,0,1,0,0,0
w,0,1,0,0,0
w,0,1,0,0,0
joebartexcited joebartexcited joebartalpha,0,1,0,0,0
joebartlongneck,0,1,0,0,0
that does suck with airbnbs i hate when you literally have to leave by like noon,0,1,0,0,0
biblethumpq,0,1,0,0,0
wake up,0,1,0,0,0
w,0,1,0,0,0
nahhhh,0,1,0,0,0
i luv when joe rants,0,1,0,0,0
joebartwebelieve,0,1,0,0,0
joebartthinking joebartthinking joebartthinking,0,1,0,0,0
l,0,1,0,0,0
joebartexcited joebarthuh joebartlongneck joebartarf joebartkekw lol i love these emotes they are so funny,0,1,0,0,0
wassup,0,1,0,0,0
joe wake up,0,1,0,0,0
nahhh,0,1,0,0,0
fuck you,0,1,0,0,0
whatttt,0,1,0,0,0
actually goofy,0,1,0,0,0
thats exactly during my summer trip in an airbnb,0,1,0,0,0
joebartlongneck joebartlongneck joebartlongneck joebartlongneck joebartlongneck,0,1,0,0,0
l,0,1,0,0,0
w,0,1,0,0,0
wake up,0,1,0,0,0
joe,0,1,0,0,0
is this where it is haunted,0,1,0,0,0
hi,0,1,0,0,0
biblethump,0,1,0,0,0
nah am,0,1,0,0,0
netflix is so ass,0,1,0,0,0
catjam,0,0,0,0,1
were you high,0,0,0,0,1
dam,0,0,0,0,1
catjam catjam catjam catjam catjam catjam,0,0,0,0,1
uhhh,0,0,0,0,1
nahhhhhhhh,0,0,0,0,1
damn bro,0,0,0,0,1
w joe,0,0,0,0,1
joe you should do a cereal tier list,0,0,0,0,1
w joe,0,0,0,0,1
shauwbab,0,0,0,0,1
lmao nvm i misheard,0,0,0,0,1
hi joe,0,0,0,0,1
joebartwebelieve,0,0,1,0,0
what,0,0,1,0,0
hahahaha,0,0,1,0,0
omg i watched that show osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog osfrog,0,0,1,0,0
hi joe,0,0,1,0,0
crispyglenn crispywideglenn,0,0,1,0,0
hu yt,0,0,1,0,0
lmaooooo,0,0,1,0,0
oh no,0,0,1,0,0
rip,0,0,1,0,0
catjam,0,0,0,0,1
hell nah,0,0,0,0,1
im from grand theft auto,0,0,0,0,1
lmao,0,0,0,0,1
wtf,0,0,0,0,1
sup joe im late what did i miss,0,0,0,0,1
lol,0,0,0,0,1
haunted,0,0,0,0,1
omg,0,0,0,0,1
lmaoo,0,0,0,0,1
catjam catjam,0,0,0,0,1
why was it so loud,0,0,0,0,1
it was haunted,0,0,0,0,1
maybe it was,0,0,0,0,1
hewannnnnn is my mommmmm,0,0,0,0,1
hi joe,0,0,0,0,1
its a ghost,0,0,0,0,1
so you were just paranoid,0,0,0,0,1
cheer cheer cheer,0,0,0,0,1
ummm,0,0,0,0,1
catjam catjam catjam catjam catjam,0,0,0,0,1
ghost,0,0,0,0,1
joeeeeeee,0,0,0,0,1
mad sus,0,0,0,0,1
joe unbann me,0,0,0,0,1
im leaving,0,0,0,0,1
what the,0,0,0,0,1
ride on the magic school bus beep beeep beep beep,0,0,0,0,1
ghost ahhhhhhhhhhhhhhhh,0,0,0,0,1
ohh nhaa,0,0,0,0,1
joebartlongneck youre cute joe hehe joebartlongneck,0,1,0,0,0
nahhhhh,0,1,0,0,0
nah,0,1,0,0,0
it was the wind,0,1,0,0,0
it grew leg,0,1,0,0,0
scary,0,1,0,0,0
ghost,0,1,0,0,0
l makeup,0,1,0,0,0
joe you maybe couldve gotton possessed,0,1,0,0,0
ayo is it haunted,0,1,0,0,0
lul,0,0,0,1,0
u prolly just wrong,0,0,0,1,0
im out if that happens,0,0,0,1,0
bro does it have rocks in it to sound like that,0,0,0,1,0
ghost fr,0,0,0,1,0
oh boi,0,0,0,1,0
oh hell nahhhhh,0,0,0,1,0
ghost,0,0,0,1,0
joesmash,0,0,0,1,0
ghost joebartmonka joebartmonka joebartmonka joebartmonka,0,0,0,1,0
catjam,0,0,0,0,1
dude,0,0,0,0,1
that was me mb,0,0,0,0,1
ghost,0,0,0,0,1
someone whipped that shit,0,0,0,0,1
nahhhh,0,0,0,0,1
helllo nightbot,0,0,0,0,1
paranormal activities,0,0,0,0,1
it might have just drown legs,0,0,0,0,1
i love your toes,0,0,0,0,1
catjam catjam catjam catjam catjam,0,0,0,0,1
im dippin idk,0,0,0,0,1
joe,0,0,0,0,1
no,0,0,0,0,1
hey,0,0,0,0,1
have,0,0,0,0,1
it was me joe,0,0,0,0,1
w raid,0,0,0,0,1
w raid,0,0,0,0,1
ghost has w rizz,0,0,0,0,1
catjam catjam catjam catjam catjam catjam,0,0,0,0,1
raid,0,0,0,0,1
i rate the lava lamp,0,0,0,0,1
w,0,0,0,0,1
yeah its scary but like yk its not a spirit for some reason,0,0,0,0,1
pixelbob pixelbob pixelbob pixelbob pixelbob pixelbob,0,0,0,0,1
if u dont marry brooke istg,0,0,0,0,1
yeah,0,0,0,0,1
its just gravity,0,0,0,0,1
and theres another one,0,0,0,0,1
catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam catjam,0,0,0,0,1
w brooke,0,0,0,0,1
they got mice,0,0,0,0,1
hell nah,0,0,0,0,1
mad,0,0,0,0,1
nahh bro the shining,0,0,0,0,1
ratatouille wanted something bro,0,0,0,0,1
nahhhhh,0,0,0,0,1
naaaah,0,0,0,0,1
naaaah,0,0,0,0,1
what a brave guy joe joebartwebelieve joebartwebelieve,0,0,1,0,0
naurrr,0,0,1,0,0
uh oh,0,0,1,0,0
hell no,0,0,1,0,0
